,latitude,,longitude,distance,bearing
37°15′40″N,37.2611904,127°01′53″E,127.03140092,0.0703,139.659°
37°15′31″N,37.25865319,127°01′51″E,127.03077216,0.3359,181.734°
37°15′39″N,37.26086275,127°01′56″E,127.03214189,0.143,129.016°
37°15′44″N,37.26232749,127°02′10″E,127.03610069,0.4673,81.022°
37°15′30″N,37.25840177,127°02′07″E,127.03528881,0.5331,133.027°
37°15′52″N,37.26437581,127°01′51″E,127.03079755,0.3008,358.492°
37°15′26″N,37.25710545,127°01′55″E,127.03184015,0.5149,170.568°
37°15′55″N,37.26531417,127°01′53″E,127.03138627,0.4075,6.226°
37°15′33″N,37.25915075,127°01′48″E,127.0300646,0.2897,194.554°
37°15′40″N,37.26105959,127°01′30″E,127.02498426,0.5269,262.575°
37°15′54″N,37.26502089,127°01′53″E,127.03141779,0.3754,7.189°
37°15′53″N,37.26464187,127°01′54″E,127.03169292,0.3379,12.187°
37°16′01″N,37.2668242,127°01′53″E,127.0314396,0.5751,4.879°
37°15′29″N,37.25816752,127°02′07″E,127.03534727,0.5548,134.63°
37°15′45″N,37.26256874,127°01′34″E,127.02605617,0.4391,283.13°
37°15′28″N,37.25787586,127°01′45″E,127.02927847,0.4456,198.637°
37°15′49″N,37.26365087,127°01′37″E,127.02681653,0.4222,301.42°
37°15′40″N,37.26119996,127°02′03″E,127.03403995,0.284,100.653°
37°15′59″N,37.26627562,127°01′41″E,127.02801747,0.5716,333.616°
37°15′32″N,37.25898434,127°02′10″E,127.036239,0.5602,122.249°
37°15′32″N,37.25892755,127°01′42″E,127.02841193,0.3757,215.671°
37°15′49″N,37.26350681,127°02′03″E,127.03418017,0.3559,55.005°
37°15′45″N,37.26245961,127°01′29″E,127.02467304,0.557,279.051°
37°15′59″N,37.26646486,127°01′55″E,127.03205535,0.543,10.979°
37°15′38″N,37.26055471,127°01′55″E,127.03190136,0.1533,144.149°
37°15′36″N,37.2598707,127°02′11″E,127.03642608,0.5297,112.223°
37°15′49″N,37.26355047,127°02′08″E,127.03543691,0.4537,62.581°
37°15′25″N,37.25705767,127°01′40″E,127.027808,0.5811,207.973°
37°15′31″N,37.25856439,127°01′56″E,127.03219527,0.3645,161.475°
37°15′31″N,37.25861571,127°01′45″E,127.02914356,0.3733,204.419°
37°15′46″N,37.26266635,127°01′51″E,127.03090219,0.1106,0.696°
37°15′34″N,37.25953251,127°01′30″E,127.02508755,0.5659,245.133°
37°15′28″N,37.25776988,127°01′40″E,127.02766742,0.5192,213.293°
37°15′30″N,37.25827823,127°02′06″E,127.03488444,0.5174,136.847°
37°15′29″N,37.25792096,127°01′58″E,127.03273882,0.4483,158.549°
37°15′37″N,37.2603196,127°01′50″E,127.03058693,0.1528,190.015°
37°15′33″N,37.25905081,127°01′51″E,127.03080386,0.2916,181.446°
37°15′51″N,37.26427349,127°01′32″E,127.02566326,0.5455,302.038°
37°15′26″N,37.25733619,127°01′49″E,127.03022617,0.4858,186.917°
37°15′52″N,37.26454004,127°01′50″E,127.03059939,0.32,355.437°
37°16′01″N,37.26691073,127°01′55″E,127.03197259,0.5906,9.365°
37°15′50″N,37.26402308,127°01′55″E,127.03184237,0.2748,17.921°
37°15′37″N,37.26036149,127°02′14″E,127.03726473,0.5831,104.475°
37°15′55″N,37.26516888,127°01′57″E,127.03249623,0.4142,20.115°
37°15′41″N,37.2612852,127°01′56″E,127.03232457,0.1343,108.679°
37°15′28″N,37.25780103,127°01′51″E,127.03081944,0.4306,180.796°
37°15′42″N,37.26178083,127°02′12″E,127.03666448,0.5116,88.642°
37°15′57″N,37.26584304,127°01′37″E,127.02682927,0.5867,322.253°
37°15′51″N,37.26407595,127°01′56″E,127.03228196,0.2945,24.788°
37°15′41″N,37.26135967,127°02′15″E,127.03756546,0.5922,93.361°
37°15′45″N,37.26250196,127°01′43″E,127.02872023,0.2129,295.701°
37°15′40″N,37.26115313,127°01′47″E,127.02977873,0.1138,239.534°
37°15′44″N,37.26225704,127°02′10″E,127.03623725,0.4781,82.175°
37°15′29″N,37.257947,127°02′08″E,127.03558216,0.5869,134.907°
37°15′39″N,37.26089586,127°01′52″E,127.03109294,0.0882,168.076°
37°15′41″N,37.26129591,127°02′13″E,127.03688767,0.5328,94.501°
37°15′30″N,37.25822288,127°01′52″E,127.03109738,0.3841,177.221°
37°15′40″N,37.26101944,127°02′01″E,127.03349577,0.2421,107.447°
37°15′44″N,37.26224408,127°01′53″E,127.03152133,0.0849,41.427°
37°15′30″N,37.25835878,127°02′04″E,127.03437739,0.4809,140.021°
37°15′50″N,37.2638672,127°02′11″E,127.03641435,0.5468,63.478°
37°15′59″N,37.2667866,127°01′56″E,127.03209545,0.5788,10.649°
37°15′31″N,37.25861043,127°01′50″E,127.03059982,0.3415,184.27°
37°15′42″N,37.26178862,127°02′04″E,127.0343589,0.3076,87.582°
37°15′32″N,37.25888125,127°02′10″E,127.03610376,0.5564,123.905°
37°16′01″N,37.26704573,127°01′51″E,127.03074148,0.5978,358.765°
37°15′34″N,37.25942692,127°01′41″E,127.02798247,0.3584,225.838°
37°15′48″N,37.26325759,127°01′42″E,127.02824173,0.2931,306.986°
37°15′27″N,37.25739008,127°01′43″E,127.02852083,0.5203,203.741°
37°15′59″N,37.26626251,127°01′44″E,127.02886819,0.541,340.711°
37°15′29″N,37.25807606,127°01′53″E,127.03147548,0.4033,172.579°
37°15′43″N,37.26195575,127°01′51″E,127.03094538,0.032,9.3°
37°15′39″N,37.26083375,127°02′06″E,127.035051,0.3802,104.193°
37°15′39″N,37.26082626,127°02′10″E,127.03612028,0.4727,101.477°
37°15′57″N,37.26586909,127°01′59″E,127.03312384,0.5071,22.984°
37°15′40″N,37.2612177,127°02′01″E,127.0335549,0.2415,102.076°
37°15′59″N,37.26677571,127°01′45″E,127.02924174,0.5861,345.611°
37°15′59″N,37.26668211,127°01′56″E,127.03213775,0.5681,11.237°
37°15′52″N,37.26454597,127°02′11″E,127.03649148,0.5902,57.203°
37°15′34″N,37.25951228,127°02′01″E,127.03353962,0.3359,135.65°
37°15′36″N,37.25987247,127°02′11″E,127.03630443,0.5197,112.652°
37°15′50″N,37.26385698,127°02′02″E,127.03402496,0.3691,48.816°
37°15′45″N,37.26245367,127°01′40″E,127.02787009,0.2809,288.033°
37°15′38″N,37.2606485,127°01′55″E,127.03190026,0.1449,141.764°
37°15′52″N,37.26443877,127°02′06″E,127.03507269,0.4817,50.287°
37°15′38″N,37.26060266,127°02′06″E,127.03493374,0.3775,108.366°
37°15′37″N,37.26032454,127°01′48″E,127.02993223,0.1721,209.421°
37°15′31″N,37.25850123,127°01′59″E,127.0332952,0.4121,148.847°
37°15′47″N,37.2629352,127°01′32″E,127.02560199,0.4885,286.718°
37°15′36″N,37.25999608,127°01′58″E,127.03289474,0.2576,136.364°
37°15′42″N,37.26162498,127°01′34″E,127.02619534,0.4154,269.28°
37°15′25″N,37.25707125,127°02′03″E,127.03413581,0.587,150.662°
37°15′27″N,37.2574213,127°01′40″E,127.02791426,0.5411,209.102°
37°15′23″N,37.25647269,127°01′45″E,127.02920613,0.5971,194.43°
37°15′28″N,37.25785727,127°01′51″E,127.0307773,0.4244,181.311°
37°15′37″N,37.26040719,127°01′43″E,127.02858151,0.2479,235.422°
37°15′27″N,37.25744912,127°02′05″E,127.03467143,0.5769,144.5°
37°15′43″N,37.26205586,127°02′06″E,127.03496451,0.3635,83.253°
37°15′48″N,37.26328749,127°01′35″E,127.02634395,0.4405,294.077°
37°15′44″N,37.26234165,127°02′10″E,127.03609059,0.4666,80.813°
37°15′44″N,37.26216334,127°02′07″E,127.03533581,0.3976,82.098°
37°15′34″N,37.25945027,127°02′06″E,127.03503368,0.4425,123.947°
37°15′30″N,37.25842726,127°01′32″E,127.025622,0.5895,232.25°
37°15′36″N,37.25986524,127°01′40″E,127.02782236,0.3376,233.472°
37°15′41″N,37.26149187,127°01′51″E,127.03075867,0.023,209.552°
37°15′37″N,37.26039281,127°02′04″E,127.03452505,0.3521,113.834°
37°15′24″N,37.25666889,127°01′51″E,127.03070849,0.5567,181.627°
37°15′50″N,37.26389068,127°01′32″E,127.02559471,0.5295,297.78°
37°15′37″N,37.26017328,127°01′46″E,127.02944488,0.21,217.446°
37°15′47″N,37.26308221,127°01′55″E,127.03200202,0.1853,32.181°
37°15′49″N,37.2636274,127°01′50″E,127.03049574,0.2202,350.952°
37°15′52″N,37.26440772,127°01′35″E,127.02632195,0.5059,306.981°
