,latitude,,longitude,distance,bearing
37°15′42″N,37.26159409,127°01′46″E,127.02943663,0.1287,266.139°
37°15′32″N,37.25877902,127°01′56″E,127.03225994,0.344,159.307°
37°15′30″N,37.25834724,127°01′33″E,127.025839,0.58,230.393°
37°15′39″N,37.26070896,127°02′06″E,127.03498857,0.3786,106.436°
37°15′35″N,37.25960101,127°02′09″E,127.03578756,0.4912,117.966°
37°15′57″N,37.26597008,127°01′42″E,127.0284213,0.5255,335.461°
37°15′37″N,37.26028482,127°02′01″E,127.03364379,0.2887,122.302°
37°15′34″N,37.25957062,127°01′54″E,127.03159784,0.2421,164.931°
37°15′44″N,37.26225053,127°01′40″E,127.02780555,0.2803,283.274°
37°15′23″N,37.2565196,127°01′52″E,127.03104944,0.5733,178.563°
37°15′23″N,37.25645851,127°01′48″E,127.02997038,0.5855,187.966°
37°15′35″N,37.25963303,127°01′47″E,127.0295971,0.2539,206.725°
37°15′56″N,37.26548873,127°01′38″E,127.02711458,0.5401,321.812°
37°15′45″N,37.26237855,127°01′49″E,127.03014109,0.1026,319.963°
37°15′46″N,37.26274049,127°02′14″E,127.03723369,0.5743,78.054°
37°15′43″N,37.26183734,127°01′58″E,127.03284989,0.1747,83.958°
37°15′39″N,37.26084003,127°02′01″E,127.03348673,0.248,111.904°
37°15′34″N,37.25943318,127°02′06″E,127.0349837,0.4399,124.474°
37°15′32″N,37.25896258,127°01′38″E,127.02717306,0.446,227.492°
37°15′26″N,37.25723862,127°01′59″E,127.03331446,0.5379,156.452°
37°15′51″N,37.26421748,127°01′35″E,127.02641271,0.4869,305.56°
37°15′27″N,37.25747561,127°02′03″E,127.03428686,0.5554,147.184°
37°15′42″N,37.26177707,127°01′28″E,127.02440831,0.5736,271.169°
37°15′38″N,37.26042779,127°01′39″E,127.02747962,0.3319,245.355°
37°15′32″N,37.25892234,127°01′53″E,127.03136501,0.3087,172.122°
37°15′32″N,37.25902215,127°01′41″E,127.02814352,0.3819,219.49°
37°15′50″N,37.2638123,127°01′40″E,127.02788492,0.3568,311.855°
37°15′44″N,37.26225181,127°01′31″E,127.02523659,0.5043,277.348°
37°15′32″N,37.25879907,127°01′41″E,127.02801674,0.4083,218.491°
37°15′56″N,37.26545472,127°01′54″E,127.03156254,0.425,8.089°
37°15′43″N,37.26193285,127°01′48″E,127.03000481,0.0833,290.381°
37°15′43″N,37.26192022,127°01′30″E,127.02501863,0.5202,273.044°
37°15′38″N,37.2606053,127°01′44″E,127.02888923,0.213,236.144°
37°15′40″N,37.26122677,127°01′43″E,127.02856872,0.2111,256.434°
37°15′52″N,37.26444485,127°01′58″E,127.03277862,0.3509,28.498°
37°15′32″N,37.25892951,127°01′44″E,127.02881945,0.3557,210.965°
37°15′28″N,37.25777389,127°01′43″E,127.02873544,0.4736,203.716°
37°15′40″N,37.26100847,127°01′38″E,127.02734556,0.3221,256.754°
37°15′37″N,37.26019321,127°02′05″E,127.03467532,0.3735,116.125°
37°15′44″N,37.262247,127°01′49″E,127.03016259,0.0906,314.924°
37°15′55″N,37.26539357,127°01′51″E,127.03089381,0.4139,0.083°
37°15′31″N,37.25856195,127°02′01″E,127.03355476,0.4188,145.678°
37°15′49″N,37.26358029,127°01′43″E,127.02862159,0.292,316.626°
37°15′39″N,37.26080955,127°01′32″E,127.02548046,0.4881,258.668°
37°15′36″N,37.26012772,127°02′09″E,127.03570343,0.4597,111.941°
37°15′28″N,37.25776925,127°01′45″E,127.02924093,0.4579,198.557°
37°15′57″N,37.26575148,127°01′46″E,127.02953137,0.4693,345.187°
37°15′38″N,37.26059277,127°01′59″E,127.03312516,0.2317,121.209°
37°15′42″N,37.26165985,127°01′56″E,127.03223109,0.119,90.65°
37°15′26″N,37.25728977,127°01′43″E,127.02870138,0.5244,201.651°
37°15′36″N,37.26008089,127°01′30″E,127.02500635,0.5498,251.226°
37°15′37″N,37.26013992,127°01′34″E,127.02611202,0.4558,248.045°
37°15′34″N,37.25953318,127°01′47″E,127.02959895,0.2638,205.609°
37°15′59″N,37.26650689,127°01′46″E,127.02951374,0.5513,347.263°
37°15′40″N,37.2611985,127°02′13″E,127.03683987,0.5296,95.705°
37°15′58″N,37.26605528,127°01′54″E,127.03153386,0.4909,6.698°
37°15′40″N,37.2610251,127°01′31″E,127.02535454,0.495,261.644°
37°15′46″N,37.26279209,127°01′42″E,127.02839902,0.253,299.496°
37°15′56″N,37.26551691,127°01′55″E,127.03185068,0.4361,11.281°
37°15′50″N,37.26391715,127°01′35″E,127.02638219,0.4705,302.057°
37°15′29″N,37.25811786,127°01′37″E,127.02701441,0.5233,220.933°
37°15′50″N,37.26376885,127°02′04″E,127.03444005,0.3916,53.441°
37°15′47″N,37.26303746,127°01′45″E,127.02911858,0.2181,314.133°
37°15′31″N,37.25873979,127°02′05″E,127.0346433,0.4658,134.443°
37°15′54″N,37.26489153,127°01′34″E,127.02604732,0.5584,309.893°
37°15′28″N,37.25788349,127°01′42″E,127.02833608,0.4781,208.188°
37°15′42″N,37.26170617,127°01′39″E,127.02747424,0.3021,270.722°
37°15′48″N,37.26343631,127°02′12″E,127.03665479,0.547,68.974°
37°15′42″N,37.26179319,127°01′47″E,127.02980822,0.0964,278.035°
37°15′35″N,37.25967283,127°01′54″E,127.0316344,0.232,163.43°
37°15′55″N,37.26539776,127°01′42″E,127.02830086,0.4734,331.083°
37°15′41″N,37.26149444,127°01′31″E,127.0252064,0.5032,267.753°
37°15′50″N,37.26376305,127°01′46″E,127.02953864,0.2614,332.834°
37°15′42″N,37.26174778,127°01′50″E,127.03059849,0.0269,288.265°
37°15′49″N,37.26354996,127°01′54″E,127.03157373,0.2175,16.226°
37°15′41″N,37.26136907,127°01′37″E,127.0270246,0.3436,264.373°
37°15′38″N,37.2605726,127°02′04″E,127.03435655,0.3306,111.708°
37°15′32″N,37.25876992,127°02′04″E,127.03453382,0.4565,134.995°
37°15′57″N,37.26574978,127°01′49″E,127.03021989,0.4574,352.582°
37°15′45″N,37.2626092,127°01′46″E,127.02931415,0.1739,306.822°
37°15′41″N,37.26128653,127°01′40″E,127.02769628,0.2857,261.37°
37°15′41″N,37.26144012,127°02′02″E,127.03402129,0.2787,95.31°
37°15′35″N,37.25979303,127°02′13″E,127.03705803,0.5849,110.933°
37°15′42″N,37.26154977,127°02′09″E,127.03592957,0.4466,91.743°
37°15′37″N,37.26031023,127°01′42″E,127.02832804,0.2725,236.233°
37°15′43″N,37.26186259,127°02′15″E,127.03748009,0.584,87.918°
37°15′39″N,37.26071329,127°01′52″E,127.03107735,0.108,171.02°
37°15′42″N,37.26163808,127°01′40″E,127.0277939,0.2738,269.212°
37°15′36″N,37.26000449,127°02′03″E,127.03429533,0.3542,121.579°
37°15′41″N,37.26152541,127°02′13″E,127.03683579,0.5269,91.772°
37°15′30″N,37.25833718,127°01′35″E,127.02646712,0.5391,226.531°
37°15′44″N,37.26234103,127°01′27″E,127.02421866,0.595,277.187°
37°15′36″N,37.26008598,127°02′14″E,127.03728304,0.593,107.303°
37°15′26″N,37.25711588,127°01′58″E,127.03267366,0.5309,162.666°
37°15′53″N,37.26482732,127°01′55″E,127.03182542,0.3607,13.316°
