latitude,longitude
37.301144,127.031677
37.300966,127.031689
37.301056,127.032004
37.301155,127.032377
37.301229,127.032653
37.301292,127.032927
37.301375,127.033169
37.301461,127.033381
37.301207,127.032005
37.301263,127.032236
37.301315,127.032453
37.301389,127.032724
37.301454,127.032958
37.301533,127.033175
37.301628,127.033381
37.300901,127.031409
37.300137,127.029258
37.299806,127.029356
37.299721,127.029883
37.299892,127.030301
37.300308,127.030721
37.300635,127.031051
37.300847,127.031268
37.301166,127.031091
37.300205,127.02908
37.29995,127.02992
37.300279,127.030324
37.300608,127.030673
37.300822,127.03084
37.301007,127.031009
37.30138,127.031204
37.301716,127.031435
37.298935,127.027317
37.298622,127.027097
37.298451,127.026993
37.298262,127.0269
37.298108,127.026807
37.297937,127.026705
37.297802,127.026612
37.297563,127.026454
37.297313,127.026299
37.297108,127.026287
37.297311,127.026445
37.299135,127.027532
37.297572,127.026572
37.2978,127.026713
37.297985,127.026857
37.298372,127.027077
37.298543,127.02719
37.298897,127.027436
37.299075,127.027625
37.29921,127.027842
37.299347,127.028014
37.299545,127.028355
37.299424,127.027929
37.29973,127.028632
37.29991,127.028798
37.29964,127.028287
37.299827,127.028553
37.299942,127.028702
37.3,127.028818
37.299989,127.028967
37.299894,127.029164
37.310227,126.98403
37.310979,126.983829
37.31134,126.983511
37.311669,126.983166
37.311975,126.982881
37.310477,126.984013
37.31084,126.983979
37.31122,126.98375
37.311615,126.98335
37.311925,126.983042
37.310132,126.9839
37.310362,126.9839
37.310624,126.983903
37.291386,127.021594
37.293363,127.02323
37.293587,127.023438
37.293784,127.023572
37.294045,127.02377
37.294246,127.023915
37.29157,127.021839
37.291741,127.022039
37.291958,127.022212
37.292241,127.022423
37.292442,127.02257
37.292669,127.022736
37.292889,127.022934
37.293129,127.023061
37.288476,127.017998
37.290291,127.020037
37.290444,127.020257
37.290613,127.020491
37.290877,127.020847
37.288699,127.017866
37.28848,127.018435
37.288676,127.018072
37.288825,127.017835
37.288974,127.017697
37.289183,127.017494
37.288591,127.018117
37.289174,127.017691
37.288814,127.018032
37.288651,127.018382
37.288464,127.018695
37.288926,127.018444
37.289079,127.018613
37.289305,127.018853
37.289498,127.019059
37.289681,127.019282
37.28987,127.019496
37.290082,127.019764
37.289707,127.024213
37.289605,127.024475
37.289826,127.023877
37.289939,127.02364
37.290018,127.023358
37.290133,127.023082
37.290252,127.022795
37.290424,127.02238
37.290572,127.021935
37.310257,126.986086
37.310766,126.987981
37.311187,126.988632
37.311548,126.989145
37.311798,126.989461
37.310205,126.98553
37.310162,126.98496
37.310108,126.984413
37.310029,126.983516
37.309972,126.982831
37.3099,126.981867
37.310324,126.986833
37.31036,126.987149
37.310176,126.986867
37.309761,126.982374
37.309702,126.981839
37.310252,126.987363
37.309885,126.984182
37.310101,126.986184
37.310034,126.985606
37.309988,126.985313
37.309961,126.985017
37.309867,126.983612
37.309828,126.983077
37.308198,126.986509
37.308058,126.987169
37.308031,126.987716
37.308007,126.988243
37.308063,126.988644
37.308468,126.988663
37.309047,126.988553
37.309284,126.988356
37.309556,126.988127
37.309887,126.987874
37.308355,126.986108
37.308518,126.985778
37.3087,126.98546
37.308932,126.98513
37.309427,126.984484
37.309238,126.984997
37.309536,126.985319
37.309781,126.985203
37.296917,127.026437
37.29496,127.024536
37.294732,127.024288
37.294552,127.024107
37.29716,127.026575
37.297403,127.02673
37.297581,127.026854
37.297845,127.027001
37.298151,127.027165
37.298412,127.027331
37.298656,127.027467
37.296692,127.02629
37.29887,127.027647
37.299063,127.027901
37.299232,127.028194
37.299419,127.02853
37.299559,127.028772
37.299719,127.02899
37.296406,127.026129
37.296192,127.025909
37.295994,127.025678
37.295755,127.025407
37.295536,127.025184
37.29539,127.025012
37.295111,127.024722
37.307329,126.988621
37.308056,126.986328
37.308313,126.985753
37.308608,126.985223
37.308867,126.984856
37.309277,126.984349
37.309635,126.984007
37.306865,126.98859
37.306443,126.988576
37.306033,126.988565
37.305704,126.988554
37.30786,126.988483
37.307858,126.987944
37.307862,126.987488
37.307916,126.986785
37.335676,127.019192
37.336854,127.020803
37.337241,127.021229
37.337715,127.021379
37.338109,127.021554
37.335476,127.019014
37.335228,127.018675
37.334868,127.018388
37.334532,127.017976
37.336278,127.01953
37.336649,127.019996
37.336676,127.020253
37.336746,127.020541
37.332381,127.015323
37.333471,127.016201
37.333744,127.016576
37.333944,127.016808
37.334325,127.017045
37.331913,127.015281
37.331476,127.015289
37.33105,127.015317
37.330676,127.015221
37.330219,127.014858
37.329888,127.014705
37.332924,127.015501
37.333201,127.015809
37.325423,127.015009
37.323517,127.015381
37.323261,127.015426
37.323143,127.015446
37.323035,127.015468
37.322869,127.015505
37.322747,127.015508
37.322574,127.015505
37.32229,127.015496
37.322107,127.015471
37.321882,127.015457
37.325259,127.015029
37.321668,127.01544
37.321492,127.015414
37.321335,127.015403
37.32113,127.015392
37.320886,127.015369
37.320679,127.015349
37.320357,127.015312
37.325615,127.014981
37.325739,127.014964
37.325849,127.014941
37.325004,127.015085
37.326074,127.014888
37.326302,127.014851
37.3265,127.014803
37.326669,127.014761
37.326878,127.014738
37.327113,127.014727
37.327356,127.014727
37.327577,127.01473
37.327755,127.014744
37.327928,127.014753
37.324824,127.015119
37.32805,127.014756
37.328214,127.014758
37.328388,127.014747
37.328606,127.014727
37.328777,127.014708
37.329063,127.014665
37.329199,127.014654
37.329358,127.014651
37.329516,127.01466
37.329701,127.014685
37.32463,127.015138
37.324443,127.015192
37.324265,127.015217
37.324078,127.015254
37.323774,127.015324
37.317007,127.017244
37.316169,127.018967
37.315998,127.019006
37.315827,127.019029
37.31559,127.019071
37.315419,127.01915
37.31529,127.019209
37.315167,127.019294
37.315002,127.019418
37.314838,127.019559
37.31472,127.019649
37.316937,127.017357
37.314583,127.019776
37.31445,127.0199
37.314308,127.020032
37.314157,127.020142
37.313939,127.0203
37.313826,127.020376
37.313677,127.020498
37.313517,127.020633
37.313355,127.020746
37.313141,127.020923
37.316849,127.017537
37.312977,127.021042
37.317359,127.0169
37.317451,127.016849
