,latitude,,longitude,distance,bearing
37°15′36″N,37.2599434,127°01′59″E,127.03297342,0.2666,136.15°
37°15′57″N,37.26593097,127°01′37″E,127.02705896,0.5824,324.424°
37°15′29″N,37.2579309,127°01′55″E,127.03204711,0.4286,166.136°
37°15′53″N,37.26458804,127°01′55″E,127.0320052,0.3391,16.971°
37°15′57″N,37.26583784,127°01′52″E,127.03101602,0.4635,1.412°
37°15′30″N,37.25843156,127°01′51″E,127.03071352,0.3607,182.44°
37°15′42″N,37.26159052,127°01′53″E,127.03129139,0.0369,104.207°
37°15′24″N,37.25667408,127°01′57″E,127.03236461,0.5711,166.758°
37°15′55″N,37.26539627,127°01′59″E,127.03305742,0.4566,24.882°
37°15′41″N,37.26135048,127°01′46″E,127.02936637,0.1393,255.122°
37°15′36″N,37.2600524,127°01′39″E,127.02753546,0.3471,238.736°
37°15′46″N,37.26281349,127°01′31″E,127.02531114,0.5097,284.427°
37°15′31″N,37.25874605,127°01′45″E,127.02926415,0.3557,203.819°
37°15′51″N,37.26415737,127°01′39″E,127.02742384,0.4128,312.043°
37°15′27″N,37.25752758,127°01′40″E,127.02776116,0.5376,210.977°
37°15′40″N,37.26101359,127°01′36″E,127.02671633,0.3764,258.782°
37°15′29″N,37.25809425,127°02′04″E,127.03449351,0.5102,141.259°
37°15′31″N,37.25849688,127°01′57″E,127.03256251,0.383,157.217°
37°15′33″N,37.25906795,127°01′32″E,127.02556017,0.5534,238.442°
37°15′33″N,37.25915401,127°01′55″E,127.03204776,0.2983,159.852°
37°15′44″N,37.26209796,127°01′42″E,127.02831122,0.2329,281.739°
37°15′38″N,37.26043389,127°01′28″E,127.02450537,0.5815,256.302°
37°15′52″N,37.26444258,127°01′43″E,127.02871684,0.3631,328.062°
37°15′44″N,37.2623324,127°02′03″E,127.03416584,0.2994,75.797°
37°15′46″N,37.26286609,127°01′35″E,127.02641864,0.4173,288.562°
37°15′45″N,37.26250736,127°01′49″E,127.03020352,0.1109,326.929°
37°15′46″N,37.26274507,127°01′28″E,127.02448136,0.5795,281.888°
37°15′54″N,37.26508431,127°02′08″E,127.03547259,0.5557,46.922°
37°15′41″N,37.26133927,127°01′35″E,127.02632028,0.4059,264.771°
37°15′54″N,37.2649034,127°01′48″E,127.03009492,0.3662,348.962°
37°15′36″N,37.25998787,127°01′38″E,127.02716332,0.3791,240.393°
37°15′36″N,37.26000863,127°01′54″E,127.03161435,0.1959,160.811°
37°15′31″N,37.25849376,127°01′43″E,127.02860781,0.407,209.716°
37°15′35″N,37.25981545,127°01′51″E,127.03092358,0.2065,179.102°
37°16′01″N,37.26689197,127°01′48″E,127.02986443,0.5876,351.139°
37°15′55″N,37.26520329,127°01′40″E,127.02789482,0.4737,326.007°
37°15′45″N,37.26242535,127°02′11″E,127.03639782,0.495,80.252°
37°15′56″N,37.2654706,127°01′48″E,127.02997708,0.4301,349.207°
37°15′47″N,37.26310626,127°02′01″E,127.03347876,0.2794,55.187°
37°15′29″N,37.25797556,127°01′45″E,127.02903151,0.4427,201.778°
37°15′36″N,37.25987417,127°02′04″E,127.03432498,0.3642,123.306°
37°15′45″N,37.26248446,127°01′45″E,127.02925493,0.1704,302.026°
37°15′30″N,37.2583358,127°01′38″E,127.02709923,0.5001,222.103°
37°15′32″N,37.25888136,127°02′08″E,127.03565652,0.524,126.32°
37°15′39″N,37.26079108,127°01′49″E,127.03033503,0.1095,206.505°
37°15′34″N,37.25947303,127°02′05″E,127.03484909,0.4276,124.888°
37°15′51″N,37.26406283,127°01′59″E,127.0330813,0.3293,36.145°
37°15′41″N,37.26143583,127°01′33″E,127.02592,0.4405,266.583°
37°15′47″N,37.26293957,127°01′51″E,127.03076353,0.1414,355.567°
37°15′42″N,37.26165269,127°01′42″E,127.02845634,0.2152,269.429°
37°15′30″N,37.25844773,127°01′54″E,127.03177273,0.3671,167.667°
37°15′46″N,37.26290526,127°01′32″E,127.02554141,0.4927,286.167°
37°15′29″N,37.25814041,127°01′40″E,127.02776839,0.4801,215.102°
37°15′24″N,37.25668284,127°01′56″E,127.03220587,0.5671,168.118°
37°15′57″N,37.26595115,127°01′58″E,127.0326576,0.5011,18.226°
37°15′48″N,37.26330948,127°01′29″E,127.02468494,0.5784,288.355°
37°15′36″N,37.25992038,127°01′31″E,127.02530713,0.531,248.476°
37°15′50″N,37.26375964,127°01′31″E,127.02522802,0.5521,294.871°
37°15′36″N,37.26005397,127°02′13″E,127.03706787,0.576,108.205°
37°15′59″N,37.26633892,127°02′03″E,127.03417206,0.595,29.257°
37°15′36″N,37.25999252,127°02′09″E,127.03591069,0.4824,112.783°
37°15′53″N,37.26468114,127°01′44″E,127.02888045,0.3789,332.046°
37°15′38″N,37.26043672,127°01′41″E,127.02796784,0.2927,242.002°
37°15′40″N,37.2610178,127°02′09″E,127.03575413,0.437,99.584°
37°15′57″N,37.26582702,127°01′56″E,127.03226111,0.4779,14.745°
37°15′30″N,37.25831412,127°01′36″E,127.0266006,0.5324,225.455°
37°15′37″N,37.26038098,127°02′08″E,127.03559734,0.441,109.001°
37°15′44″N,37.26208867,127°02′14″E,127.03732537,0.5718,85.349°
37°15′33″N,37.2590592,127°01′42″E,127.02825363,0.3726,218.736°
37°15′55″N,37.26517579,127°02′01″E,127.03372324,0.4636,32.79°
37°15′43″N,37.26200626,127°01′50″E,127.0305108,0.0499,318.149°
37°15′31″N,37.25860892,127°01′34″E,127.02611255,0.5429,231.13°
37°15′30″N,37.25846753,127°01′48″E,127.02990808,0.3668,193.666°
37°15′53″N,37.2645937,127°01′53″E,127.03145785,0.3289,8.838°
37°15′42″N,37.26171801,127°01′59″E,127.0332172,0.2063,88.578°
37°15′52″N,37.26433596,127°01′49″E,127.03033001,0.3004,350.553°
37°15′43″N,37.26183577,127°02′13″E,127.03702551,0.5437,88.078°
37°15′55″N,37.26525484,127°02′06″E,127.03504927,0.5427,42.754°
37°15′58″N,37.26612352,127°01′48″E,127.02992155,0.5024,350.207°
37°15′32″N,37.2588003,127°01′47″E,127.02983885,0.3326,196.199°
37°15′51″N,37.26408431,127°01′53″E,127.03135912,0.2715,8.853°
37°15′38″N,37.2604537,127°01′46″E,127.0294935,0.1832,222.313°
37°15′44″N,37.26219371,127°01′28″E,127.02445854,0.572,275.824°
37°15′49″N,37.26366886,127°01′59″E,127.03319152,0.3016,42.566°
37°15′50″N,37.26382816,127°01′36″E,127.02661014,0.4482,302.354°
37°15′58″N,37.26600703,127°01′46″E,127.02939562,0.4999,344.688°
37°15′52″N,37.26435875,127°01′48″E,127.03002044,0.3085,345.604°
37°15′59″N,37.2667033,127°01′53″E,127.0315085,0.5623,5.614°
37°15′50″N,37.26380562,127°02′08″E,127.03551302,0.4733,59.905°
37°15′25″N,37.25683881,127°01′59″E,127.03295094,0.5678,161.228°
37°15′40″N,37.26099194,127°02′14″E,127.03726312,0.5695,97.631°
37°15′51″N,37.26427812,127°01′53″E,127.031476,0.2945,10.197°
37°15′30″N,37.2584085,127°01′39″E,127.02738359,0.4774,220.512°
37°15′36″N,37.25996347,127°02′08″E,127.03552982,0.4528,114.813°
37°15′34″N,37.25936258,127°01′59″E,127.03342437,0.3412,138.831°
37°15′49″N,37.26372252,127°01′52″E,127.03119526,0.2297,6.823°
37°15′27″N,37.25763621,127°01′47″E,127.02959602,0.4632,194.284°
37°15′38″N,37.26041902,127°02′10″E,127.03598955,0.4727,107.145°
37°15′27″N,37.25740285,127°01′46″E,127.02943429,0.4919,195.154°
37°15′47″N,37.262937,127°01′40″E,127.0279004,0.2995,298.022°
37°15′49″N,37.26373117,127°01′50″E,127.03059647,0.2305,353.593°
37°15′46″N,37.26288421,127°01′36″E,127.02657614,0.4047,289.461°
37°15′43″N,37.26202849,127°01′46″E,127.02932562,0.1438,286.007°
37°15′39″N,37.26093011,127°02′02″E,127.03400292,0.2879,106.654°
37°15′59″N,37.26661335,127°01′42″E,127.02841753,0.5915,338.311°
37°15′40″N,37.26107304,127°01′41″E,127.02805205,0.2597,255.134°
37°15′39″N,37.26083218,127°01′41″E,127.02808823,0.2648,249.343°
37°15′44″N,37.26217107,127°02′02″E,127.03396552,0.2781,78.486°
37°15′40″N,37.26114963,127°01′40″E,127.02782502,0.2772,257.902°
37°15′53″N,37.26472408,127°01′31″E,127.02533851,0.5971,304.653°
37°15′40″N,37.26122717,127°01′56″E,127.03209303,0.1177,114.864°
37°15′43″N,37.26197109,127°02′07″E,127.03526861,0.3893,85.097°
37°15′35″N,37.25964614,127°01′58″E,127.03264651,0.2739,145.345°
37°15′39″N,37.26096423,127°02′02″E,127.0339644,0.2836,106.117°
37°15′59″N,37.26668226,127°01′48″E,127.03003223,0.5624,352.268°
37°15′40″N,37.26121119,127°02′02″E,127.03401792,0.2819,100.476°
37°15′52″N,37.26442152,127°01′48″E,127.03006049,0.3144,346.546°
37°15′40″N,37.26111217,127°02′08″E,127.03541831,0.4059,98.822°
37°15′49″N,37.26361983,127°02′04″E,127.03455959,0.3907,56.319°
37°15′43″N,37.26192791,127°01′50″E,127.03051671,0.0434,310.97°
37°15′46″N,37.26277233,127°01′45″E,127.02910457,0.1997,307.799°
37°15′48″N,37.26323563,127°01′31″E,127.02514698,0.5371,288.897°
37°15′41″N,37.26133868,127°01′38″E,127.0271244,0.3351,263.65°
37°15′39″N,37.26078021,127°01′29″E,127.02486106,0.5426,259.468°
37°15′27″N,37.25746397,127°01′46″E,127.02937016,0.4869,196.008°
37°15′31″N,37.25851075,127°01′56″E,127.03220012,0.3703,161.706°
37°15′43″N,37.26190563,127°01′44″E,127.02876619,0.1895,277.881°
37°15′47″N,37.26304824,127°01′36″E,127.02670768,0.4004,292.479°
37°15′55″N,37.26517485,127°01′42″E,127.02841972,0.4466,330.727°
37°15′42″N,37.26178619,127°01′43″E,127.0285281,0.2092,273.481°
37°15′46″N,37.26279644,127°01′49″E,127.0302323,0.1378,335.137°
37°15′33″N,37.25917684,127°01′40″E,127.02773041,0.3938,225.197°
37°15′42″N,37.26166747,127°02′02″E,127.03399164,0.2748,90.104°
37°15′33″N,37.25915898,127°01′40″E,127.02779532,0.3912,224.398°
37°15′52″N,37.26432246,127°02′09″E,127.03575616,0.5222,55.628°
37°15′41″N,37.26141522,127°02′05″E,127.03460308,0.3302,94.961°
37°15′31″N,37.25856739,127°02′09″E,127.03578193,0.5541,128.55°
37°15′43″N,37.26206116,127°01′47″E,127.02976364,0.1085,293.522°
37°15′27″N,37.25760185,127°01′53″E,127.03141982,0.4552,174.052°
37°15′29″N,37.25817522,127°01′44″E,127.02891013,0.4265,204.226°
37°15′51″N,37.26414743,127°01′53″E,127.03148738,0.2804,10.925°
37°15′24″N,37.25664695,127°01′56″E,127.03220653,0.571,168.195°
37°15′50″N,37.2639828,127°02′13″E,127.0369944,0.5986,64.571°
37°15′33″N,37.25910162,127°01′55″E,127.03205295,0.304,160.149°
37°15′31″N,37.25861762,127°02′08″E,127.03558249,0.5368,129.258°
37°15′44″N,37.26210349,127°02′02″E,127.03399394,0.2792,80.101°
37°15′30″N,37.2583302,127°01′58″E,127.03279412,0.4082,155.572°
37°15′39″N,37.26082052,127°02′06″E,127.03490293,0.3679,104.916°
37°15′37″N,37.26025033,127°01′47″E,127.02984716,0.183,210.205°
37°15′50″N,37.2639774,127°01′37″E,127.02695444,0.4324,306.376°
37°15′27″N,37.25762682,127°01′45″E,127.02912975,0.4761,199.073°
37°15′30″N,37.25831555,127°01′53″E,127.03144547,0.3766,172.456°
37°15′27″N,37.25736305,127°01′40″E,127.02775552,0.5537,210.047°
37°15′43″N,37.26181898,127°02′07″E,127.03519737,0.3819,87.545°
37°15′47″N,37.26310015,127°02′11″E,127.03637614,0.5112,71.895°
37°15′50″N,37.26389672,127°02′06″E,127.03496694,0.4378,55.582°
37°15′29″N,37.25816846,127°01′33″E,127.02595883,0.585,228.229°
37°15′37″N,37.26029222,127°01′44″E,127.0288998,0.2334,228.899°
37°15′29″N,37.25803714,127°02′09″E,127.03580377,0.5941,132.886°
37°15′34″N,37.25942805,127°01′59″E,127.03324568,0.3254,140.084°
