,latitude,,longitude,distance,bearing
37°15′32″N,37.25897946,127°02′04″E,127.03450959,0.4388,133.041°
37°15′34″N,37.25939932,127°01′58″E,127.03271083,0.2999,147.433°
37°15′39″N,37.26095371,127°01′44″E,127.02878672,0.2024,246.747°
37°15′41″N,37.26148826,127°01′28″E,127.02437901,0.5765,267.97°
37°15′47″N,37.26295803,127°01′35″E,127.02651302,0.4128,290.277°
37°15′56″N,37.26565201,127°01′43″E,127.02858579,0.4873,335.291°
37°15′42″N,37.26178795,127°02′05″E,127.03473443,0.3408,87.83°
37°15′33″N,37.25921096,127°01′45″E,127.02903994,0.3188,210.852°
37°15′33″N,37.25907524,127°01′34″E,127.02611243,0.5119,235.655°
37°15′35″N,37.25967991,127°01′30″E,127.02499467,0.5667,246.987°
37°15′55″N,37.26531347,127°01′46″E,127.02954688,0.422,343.676°
37°15′32″N,37.25884535,127°02′10″E,127.03600987,0.5518,124.731°
37°15′24″N,37.25677971,127°01′49″E,127.03030236,0.5466,185.433°
37°15′46″N,37.26265341,127°01′48″E,127.03001568,0.1337,324.755°
37°15′32″N,37.25887728,127°01′55″E,127.03185998,0.3226,164.512°
37°15′24″N,37.2565925,127°01′51″E,127.03090159,0.565,179.869°
37°15′40″N,37.26120157,127°01′44″E,127.02885538,0.1873,253.779°
37°15′45″N,37.26245685,127°01′49″E,127.0302239,0.1052,326.082°
37°15′53″N,37.26468791,127°01′33″E,127.02578263,0.5628,306.592°
37°15′49″N,37.26350471,127°01′29″E,127.02476329,0.5791,290.61°
37°15′47″N,37.26307543,127°01′48″E,127.0298693,0.1802,330.01°
37°15′37″N,37.26041086,127°01′57″E,127.03263068,0.2086,132.263°
37°15′24″N,37.25668293,127°01′57″E,127.03246953,0.5723,165.831°
37°15′30″N,37.2581971,127°02′01″E,127.03372635,0.461,146.962°
37°15′52″N,37.26433186,127°01′35″E,127.02632293,0.5008,306.215°
37°15′40″N,37.26119819,127°01′47″E,127.02966876,0.12,243.957°
37°15′29″N,37.25809272,127°01′35″E,127.02628174,0.5698,225.682°
37°15′45″N,37.26240415,127°01′47″E,127.02982601,0.1243,310.927°
37°15′59″N,37.26647452,127°01′49″E,127.03035731,0.5362,354.984°
37°15′46″N,37.26286986,127°01′55″E,127.03201845,0.1667,36.934°
37°15′31″N,37.25851257,127°01′47″E,127.02966548,0.3677,197.104°
37°15′34″N,37.25955831,127°01′31″E,127.02540009,0.5396,244.174°
37°15′51″N,37.26415513,127°01′56″E,127.03235474,0.3052,25.193°
37°15′50″N,37.26397159,127°01′40″E,127.02772115,0.3794,312.387°
37°15′54″N,37.26490161,127°01′43″E,127.0286419,0.4105,331.047°
37°15′46″N,37.262654,127°01′32″E,127.02555614,0.4844,283.034°
37°15′55″N,37.26537358,127°02′06″E,127.03501716,0.5506,41.604°
37°15′42″N,37.26174563,127°01′46″E,127.02940328,0.1316,273.568°
37°15′52″N,37.26453585,127°01′46″E,127.02957994,0.3389,340.038°
37°15′46″N,37.26274269,127°01′30″E,127.02492911,0.5407,282.726°
37°15′37″N,37.26023667,127°01′28″E,127.02453127,0.5848,254.161°
37°15′50″N,37.26380355,127°02′10″E,127.03602893,0.5132,62.485°
37°15′34″N,37.25937723,127°01′37″E,127.02703043,0.4263,233.218°
37°15′58″N,37.2660955,127°01′41″E,127.02804335,0.5527,332.906°
37°15′52″N,37.26433102,127°02′05″E,127.03472663,0.4505,48.971°
37°15′41″N,37.26132807,127°01′28″E,127.02443086,0.5728,266.173°
37°15′36″N,37.26010259,127°01′45″E,127.02905913,0.238,222.83°
37°15′35″N,37.2598213,127°01′49″E,127.03037743,0.2107,192.361°
37°15′49″N,37.26358208,127°01′51″E,127.03086836,0.2125,359.555°
37°15′32″N,37.25880401,127°01′32″E,127.02554999,0.5701,235.975°
37°15′32″N,37.25888679,127°01′33″E,127.02577615,0.5483,235.601°
37°15′46″N,37.26274526,127°02′06″E,127.03511328,0.3927,72.302°
37°15′45″N,37.26252334,127°01′37″E,127.0269472,0.3614,285.191°
37°15′43″N,37.26200637,127°01′51″E,127.03092836,0.0374,5.623°
37°15′45″N,37.26261721,127°02′07″E,127.0352589,0.401,74.801°
37°15′29″N,37.25813688,127°02′07″E,127.0353083,0.5548,135.13°
37°15′23″N,37.25651587,127°01′53″E,127.0314,0.5753,175.472°
37°15′31″N,37.25855575,127°01′32″E,127.02543457,0.5942,234.319°
37°15′48″N,37.26339397,127°01′47″E,127.02969713,0.2186,331.192°
37°15′58″N,37.26617839,127°01′45″E,127.02916534,0.5239,343.088°
37°15′45″N,37.26246574,127°02′15″E,127.03751804,0.5936,81.445°
37°15′51″N,37.26425716,127°02′01″E,127.03369981,0.3804,40.89°
37°15′46″N,37.26287916,127°01′46″E,127.02956229,0.1783,318.867°
37°15′46″N,37.26287289,127°01′58″E,127.03265723,0.2059,49.556°
37°15′27″N,37.25745533,127°01′37″E,127.02689906,0.587,216.971°
37°15′37″N,37.26028138,127°01′55″E,127.03202466,0.1846,146.931°
37°15′34″N,37.25940936,127°01′39″E,127.02760214,0.3846,229.126°
37°15′54″N,37.26505058,127°01′45″E,127.02915046,0.406,337.753°
37°15′35″N,37.25981084,127°01′44″E,127.02889396,0.272,220.441°
37°15′33″N,37.25908911,127°01′51″E,127.03088479,0.2873,180.039°
37°15′44″N,37.26217549,127°01′53″E,127.03152346,0.0794,45.173°
37°15′30″N,37.25842454,127°01′53″E,127.03129911,0.363,174.232°
37°15′43″N,37.26186737,127°01′57″E,127.03242541,0.1379,80.934°
37°15′38″N,37.26045594,127°01′59″E,127.03344356,0.2637,120.864°
37°15′57″N,37.26571112,127°01′40″E,127.02767983,0.5314,327.711°
37°15′24″N,37.25679065,127°01′50″E,127.03057015,0.5437,182.957°
37°15′45″N,37.26263808,127°01′59″E,127.03319376,0.2307,62.245°
37°15′35″N,37.259627,127°01′38″E,127.02719657,0.3981,235.154°
37°15′48″N,37.26325401,127°01′48″E,127.03001749,0.1921,336.374°
37°15′48″N,37.26327934,127°01′38″E,127.02727221,0.3665,299.193°
37°15′44″N,37.26219325,127°01′56″E,127.03228418,0.1366,64.884°
37°15′47″N,37.26304371,127°01′37″E,127.02691928,0.3829,293.481°
